Frequency,T0Magnitude,T1Magnitude,T2Magnitude,T3Magnitude,T4Magnitude,T5Magnitude
571250000000,-8.642006048,0.737739872,0.845441814,0.845441814,0.495791988,0.50199003
571875000000,3.634164374,1.97428477,2.49739445,2.49739445,1.106477416,1.105921805
572500000000,4.449743456,0.482590963,1.693450082,1.693450082,-0.41082368,0.073665859
573125000000,1.94297698,-4.89274484,-5.097042815,-5.097042815,-5.303087899,-5.17140444
573750000000,-2.97499329,-1.166081447,-1.143752884,-1.143752884,-1.257230856,-1.301329244
574375000000,6.671178021,0.239227531,0.39154091,0.39154091,-0.037406738,-0.054370477
575000000000,4.865145857,1.282091008,1.751634366,1.751634366,0.624012455,0.576075121
575625000000,1.543966932,-0.427103631,0.63341392,0.63341392,-1.236616032,-1.190907601
576250000000,-0.590744548,0.341026679,0.393367185,0.393367185,0.22777853,0.33064412
576875000000,2.976604813,-0.51155544,-0.513496059,-0.513496059,-0.576686838,-0.608738165
577500000000,0.38052499,-0.000854146,0.01165034,0.01165034,-0.024866151,-0.028890851
578125000000,1.687543496,0.334914353,0.463240128,0.463240128,0.117427388,0.1021554
578750000000,-1.152045172,-0.395637147,-0.550917888,-0.550917888,-0.147586313,-0.153485429
579375000000,-5.132165561,10.98453916,8.331248846,8.331248846,4.268789227,3.428360754
580000000000,-3.603380605,2.820853422,3.131007305,3.131007305,2.400870078,2.569397712
580625000000,-5.272734193,2.173484168,1.857953271,1.857953271,2.763944219,2.787974205
581250000000,-5.634164857,1.28040193,0.875553188,0.875553188,2.095359527,2.146160875
581875000000,-5.289579101,-0.823956581,-1.178493276,-1.178493276,-0.028451783,0.06894283
582500000000,-4.651314018,-6.255158826,-6.333750412,-6.333750412,-5.544941318,-5.216247381
583125000000,-3.609951477,1.049493341,1.816343033,1.816343033,-0.604772078,-0.60966647
583750000000,-4.429753234,3.568579233,4.041021157,4.041021157,2.717722596,2.84969863
584375000000,-1.780451073,2.110172502,2.233361083,2.233361083,1.892439804,1.936790982
585000000000,-1.214635825,4.262436396,4.2773391,4.2773391,4.030531024,4.147010677
585625000000,-0.429230388,2.014150046,1.828245987,1.828245987,2.075157212,2.158223851
586250000000,2.153005717,3.349226633,2.892827513,2.892827513,4.639657405,4.452481858
586875000000,-3.968251578,-1.156226972,-1.571706739,-1.571706739,-0.226749569,-0.23140618
587500000000,-5.332442315,-2.472956321,-2.746781019,-2.746781019,-1.82096301,-1.896192921
588125000000,4.764357887,0.951360278,1.188875495,1.188875495,0.714869671,0.796281916
588750000000,6.68049974,4.204114047,4.888976978,4.888976978,2.824849665,3.209719019
589375000000,-7.450478497,-0.661554045,-1.042360139,-1.042360139,0.2572776,0.818852125
590000000000,-16.1585758,4.745611887,4.696329624,4.696329624,4.634255112,5.116814401
590625000000,-9.068388925,3.898990295,4.025307271,4.025307271,3.434933097,4.046358346
